NAME,DISTURBANCE_ID,TM,TYPE,LAT,LON,CENTRAL_PRES,MN_RADIUS_GF_WIND,MAX_WIND_SPD,COMMENT
unnamed,AU190910_01U,1/27/1910 14:00,T,-17.1,145.1,,,,Imported from CYCARD; June 2009
unnamed,AU190910_01U,1/27/1910 23:00,T,-17.8,144.9,,,,Imported from CYCARD; June 2009
unnamed,AU190910_01U,1/28/1910 23:00,T,-18.6,145.6,,,,Imported from CYCARD; June 2009
unnamed,AU190910_01U,1/29/1910 4:00,T,-18.9,146.3,,,,Imported from CYCARD; June 2009
unnamed,AU190910_01U,1/29/1910 23:00,T,-20.1,149,,,,Imported from CYCARD; June 2009
unnamed,AU190910_01U,1/30/1910 23:00,T,-21.4,154.2,,,,Imported from CYCARD; June 2009
unnamed,AU191011_01U,11/18/1910 1:00,T,-15,120,,,,Imported from CYCARD; June 2009
unnamed,AU191011_01U,11/19/1910 1:00,T,-17.5,122,965,,,Imported from CYCARD; June 2009
unnamed,AU191011_01U,11/19/1910 8:00,T,-17.7,122.1,,,,Imported from CYCARD; June 2009
unnamed,AU191011_01U,11/19/1910 10:00,T,-17.8,122.1,965,,,Imported from CYCARD; June 2009
unnamed,AU191011_01U,11/20/1910 1:00,T,-18.3,121.7,,,,Imported from CYCARD; June 2009
unnamed,AU191011_01U,11/21/1910 1:00,T,-19.1,119.7,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/2/1911 23:00,T,-14.7,138.4,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/3/1911 23:00,T,-15.6,138.9,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/4/1911 13:00,T,-16.3,139.2,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/4/1911 23:00,T,-17,139,996,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/5/1911 14:00,T,-17.8,138.8,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/5/1911 23:00,T,-18.1,138.9,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/6/1911 23:00,T,-18.4,139.2,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/7/1911 23:00,T,-18.6,139.9,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/8/1911 23:00,T,-19,140.7,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/9/1911 23:00,T,-19.2,143.7,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/10/1911 1:00,T,-19.6,144.3,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/10/1911 9:00,T,-20.8,145.2,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/10/1911 23:00,T,-23.6,146.1,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/11/1911 23:00,T,-25,147,,,,Imported from CYCARD; June 2009
unnamed,AU191011_02U,1/12/1911 8:00,T,-28,148,,,,Imported from CYCARD; June 2009
unnamed,AU191011_03U,2/6/1911 1:00,T,-18.3,117.1,,,,Imported from CYCARD; June 2009
unnamed,AU191011_03U,2/6/1911 17:30,T,-20.3,116,,,,Imported from CYCARD; June 2009
unnamed,AU191011_03U,2/7/1911 1:00,T,-21.4,114.2,,,,Imported from CYCARD; June 2009
unnamed,AU191011_03U,2/8/1911 1:00,T,-22.9,111.2,,,,Imported from CYCARD; June 2009
unnamed,AU191011_04U,2/9/1911 23:00,T,-12.7,143.2,,,,Imported from CYCARD; June 2009
unnamed,AU191011_04U,2/10/1911 0:00,T,-12.8,143.6,,,,Imported from CYCARD; June 2009
unnamed,AU191011_04U,2/10/1911 4:00,T,-13.4,144.6,,,,Imported from CYCARD; June 2009
unnamed,AU191011_04U,2/10/1911 11:00,T,-14.8,145.6,,,,Imported from CYCARD; June 2009
unnamed,AU191011_04U,2/10/1911 20:00,T,-16.8,146.6,988,,,Imported from CYCARD; June 2009
unnamed,AU191011_04U,2/10/1911 23:00,T,-17.7,146.9,,,,Imported from CYCARD; June 2009
unnamed,AU191011_04U,2/11/1911 23:00,T,-20.5,149.3,,,,Imported from CYCARD; June 2009
unnamed,AU191011_04U,2/12/1911 6:00,T,-21.6,149.5,,,,Imported from CYCARD; June 2009
unnamed,AU191011_04U,2/12/1911 9:00,T,-21.9,149.5,,,,Imported from CYCARD; June 2009
unnamed,AU191011_04U,2/12/1911 23:00,T,-23.8,149,,,,Imported from CYCARD; June 2009
unnamed,AU191011_05U,3/15/1911 23:00,T,-15.1,146.9,,,,Imported from CYCARD; June 2009
unnamed,AU191011_05U,3/16/1911 16:00,T,-16.1,145.3,,,,Imported from CYCARD; June 2009
unnamed,AU191011_05U,3/16/1911 23:00,T,-16.7,145.1,1000,,,Imported from CYCARD; June 2009
unnamed,AU191011_05U,3/17/1911 4:00,T,-17.8,144.5,,,,Imported from CYCARD; June 2009
unnamed,AU191011_05U,3/17/1911 6:00,T,-17.9,143.9,,,,Imported from CYCARD; June 2009
unnamed,AU191011_05U,3/17/1911 12:00,T,-17.7,142.2,,,,Imported from CYCARD; June 2009
unnamed,AU191011_05U,3/17/1911 17:00,T,-17,141,,,,Imported from CYCARD; June 2009
unnamed,AU191011_05U,3/17/1911 23:00,T,-15.8,140,,,,Imported from CYCARD; June 2009
unnamed,AU191011_06U,3/20/1911 23:00,T,-13.8,149.1,,,,Imported from CYCARD; June 2009
unnamed,AU191011_06U,3/21/1911 8:00,T,-15,149.3,,,,Imported from CYCARD; June 2009
unnamed,AU191011_06U,3/21/1911 17:00,T,-16,149.1,,,,Imported from CYCARD; June 2009
unnamed,AU191011_06U,3/21/1911 23:00,T,-16.8,148.6,,,,Imported from CYCARD; June 2009
unnamed,AU191011_06U,3/22/1911 12:00,T,-17.3,148,,,,Imported from CYCARD; June 2009
unnamed,AU191011_06U,3/22/1911 23:00,T,-18,147.9,996,,,Imported from CYCARD; June 2009
unnamed,AU191011_06U,3/23/1911 23:00,T,-19.3,147.9,,,,Imported from CYCARD; June 2009
unnamed,AU191011_06U,3/24/1911 23:00,T,-20.4,151,,,,Imported from CYCARD; June 2009
unnamed,AU191011_06U,3/25/1911 23:00,T,-21.1,155,,,,Imported from CYCARD; June 2009
unnamed,AU191011_06U,3/26/1911 23:00,T,-21.6,157,,,,Imported from CYCARD; June 2009
unnamed,AU191112_01U,1/5/1912 23:00,T,-19.6,155.1,,,,Imported from CYCARD; June 2009
unnamed,AU191112_01U,1/6/1912 23:00,T,-22.8,155.8,988,,,Imported from CYCARD; June 2009
unnamed,AU191112_01U,1/7/1912 11:00,T,-24.2,156.5,,,,Imported from CYCARD; June 2009
unnamed,AU191112_01U,1/7/1912 23:00,T,-25.3,157.6,,,,Imported from CYCARD; June 2009
unnamed,AU191112_01U,1/8/1912 11:00,T,-26.6,161,,,,Imported from CYCARD; June 2009
unnamed,AU191112_02U,2/8/1912 1:00,T,-17,124.6,,,,Imported from CYCARD; June 2009
unnamed,AU191112_02U,2/9/1912 1:00,T,-17.6,122.7,,,,Imported from CYCARD; June 2009
unnamed,AU191112_02U,2/9/1912 10:00,T,-18.7,121.8,,,,Imported from CYCARD; June 2009
unnamed,AU191112_02U,2/9/1912 14:00,T,-19.2,121.3,,,,Imported from CYCARD; June 2009
unnamed,AU191112_02U,2/10/1912 1:00,T,-20.3,119.7,,,,Imported from CYCARD; June 2009
unnamed,AU191112_03U,3/5/1912 1:00,T,-17,119.8,,,,Imported from CYCARD; June 2009
unnamed,AU191112_03U,3/6/1912 1:00,T,-18.2,120.3,,,,Imported from CYCARD; June 2009
unnamed,AU191112_03U,3/6/1912 3:30,T,-18.3,120.4,,,,Imported from CYCARD; June 2009
unnamed,AU191112_04U,3/19/1912 1:00,T,-16.8,119.3,,,,Imported from CYCARD; June 2009
unnamed,AU191112_04U,3/20/1912 1:00,T,-19,118.7,,,,Imported from CYCARD; June 2009
unnamed,AU191112_04U,3/21/1912 1:00,T,-19.4,117.1,,,,Imported from CYCARD; June 2009
unnamed,AU191112_04U,3/21/1912 7:00,T,-19.9,116.9,,,,Imported from CYCARD; June 2009
unnamed,AU191112_04U,3/21/1912 15:30,T,-20.6,117.4,977,,,Imported from CYCARD; June 2009
unnamed,AU191112_04U,3/22/1912 1:00,T,-21.2,118.4,,,,Imported from CYCARD; June 2009
unnamed,AU191112_05U,4/4/1912 23:00,T,-13,147.3,,,,Imported from CYCARD; June 2009
unnamed,AU191112_05U,4/5/1912 10:00,T,-14.6,146.6,,,,Imported from CYCARD; June 2009
unnamed,AU191112_05U,4/5/1912 20:00,T,-16,146.2,,,,Imported from CYCARD; June 2009
unnamed,AU191112_05U,4/5/1912 23:00,T,-16.6,146.4,,,,Imported from CYCARD; June 2009
unnamed,AU191112_05U,4/6/1912 11:00,T,-17.6,147.5,,,,Imported from CYCARD; June 2009
unnamed,AU191112_05U,4/6/1912 23:00,T,-18.2,149,998,,,Imported from CYCARD; June 2009
unnamed,AU191213_01U,1/6/1913 23:00,T,-24.6,144,1000,,,Imported from CYCARD; June 2009
unnamed,AU191213_01U,1/7/1913 11:00,T,-24,147.8,,,,Imported from CYCARD; June 2009
unnamed,AU191213_01U,1/7/1913 20:00,T,-23.1,150.9,,,,Imported from CYCARD; June 2009
unnamed,AU191213_01U,1/7/1913 23:00,T,-22.7,151.7,,,,Imported from CYCARD; June 2009
unnamed,AU191213_01U,1/8/1913 23:00,T,-21,156.2,,,,Imported from CYCARD; June 2009
unnamed,AU191213_02U,1/11/1913 23:00,T,-12.5,154,,,,Imported from CYCARD; June 2009
unnamed,AU191213_02U,1/12/1913 23:00,T,-13.6,153,,,,Imported from CYCARD; June 2009
unnamed,AU191213_02U,1/13/1913 23:00,T,-14.9,152,,,,Imported from CYCARD; June 2009
unnamed,AU191213_02U,1/14/1913 23:00,T,-17,150.9,990,,,Imported from CYCARD; June 2009
unnamed,AU191213_02U,1/15/1913 23:00,T,-18,150.6,,,,Imported from CYCARD; June 2009
unnamed,AU191213_02U,1/16/1913 23:00,T,-19.1,150.2,,,,Imported from CYCARD; June 2009
unnamed,AU191213_02U,1/17/1913 12:00,T,-19.9,151,,,,Imported from CYCARD; June 2009
unnamed,AU191213_02U,1/17/1913 23:00,T,-20.3,152,,,,Imported from CYCARD; June 2009
unnamed,AU191213_03U,1/19/1913 23:00,T,-13.1,138,,,,Imported from CYCARD; June 2009
unnamed,AU191213_03U,1/20/1913 23:00,T,-13.3,140.8,,,,Imported from CYCARD; June 2009
unnamed,AU191213_03U,1/21/1913 4:00,T,-13.5,141.7,,,,Imported from CYCARD; June 2009
unnamed,AU191213_03U,1/21/1913 17:00,T,-13.8,143.7,,,,Imported from CYCARD; June 2009
unnamed,AU191213_03U,1/21/1913 23:00,T,-14,144.7,990,,,Imported from CYCARD; June 2009
unnamed,AU191213_03U,1/22/1913 23:00,T,-15.2,152.1,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,1/27/1913 23:00,T,-17,152,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,1/28/1913 23:00,T,-16.4,148.8,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,1/29/1913 23:00,T,-16.4,146.8,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,1/30/1913 11:00,T,-16.4,145.4,985,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,1/30/1913 23:00,T,-16.4,144.1,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,1/31/1913 20:00,T,-15.9,141.4,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,1/31/1913 23:00,T,-15.9,140.9,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,2/1/1913 23:30,T,-16.2,138,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,2/2/1913 1:00,T,-16.2,137.7,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,2/2/1913 23:30,T,-15.8,135.3,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,2/3/1913 23:30,T,-14,132.6,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,2/4/1913 10:00,T,-13.8,131.2,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,2/4/1913 23:30,T,-14.1,129.5,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,2/5/1913 9:00,T,-14.8,128.1,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,2/6/1913 1:00,T,-15.8,126.4,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,2/6/1913 19:00,T,-16.7,125.5,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,2/7/1913 1:00,T,-17.2,125.5,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,2/8/1913 1:00,T,-17.8,127.4,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,2/8/1913 23:30,T,-18,130,,,,Imported from CYCARD; June 2009
unnamed,AU191213_04U,2/9/1913 23:30,T,-17.4,132,,,,Imported from CYCARD; June 2009
unnamed,AU191213_05U,4/3/1913 23:00,T,-12,147.2,,,,Imported from CYCARD; June 2009
unnamed,AU191213_05U,4/4/1913 23:00,T,-19,150.6,,,,Imported from CYCARD; June 2009
unnamed,AU191213_05U,4/5/1913 10:00,T,-20.9,151.9,,,,Imported from CYCARD; June 2009
unnamed,AU191213_05U,4/5/1913 23:00,T,-23,154.1,,,,Imported from CYCARD; June 2009
unnamed,AU191213_05U,4/6/1913 23:00,T,-26.3,156.2,,,,Imported from CYCARD; June 2009
unnamed,AU191213_05U,4/7/1913 12:00,T,-28.1,157.1,,,,Imported from CYCARD; June 2009
unnamed,AU191213_05U,4/7/1913 23:00,T,-29.3,158.2,988,,,Imported from CYCARD; June 2009
unnamed,AU191213_06U,4/13/1913 23:00,T,-13.9,151.8,,,,Imported from CYCARD; June 2009
unnamed,AU191213_06U,4/14/1913 23:00,T,-14.8,151.5,,,,Imported from CYCARD; June 2009
unnamed,AU191213_06U,4/15/1913 23:00,T,-16,152.4,1000,,,Imported from CYCARD; June 2009
unnamed,AU191213_06U,4/16/1913 23:00,T,-16.3,154.4,,,,Imported from CYCARD; June 2009
unnamed,AU191314_01U,12/30/1913 23:00,T,-12.2,140.3,,,,Imported from CYCARD; June 2009
unnamed,AU191314_01U,12/31/1913 23:00,T,-12.1,140,,,,Imported from CYCARD; June 2009
unnamed,AU191314_01U,1/1/1914 10:00,T,-12,138.2,,,,Imported from CYCARD; June 2009
unnamed,AU191314_01U,1/1/1914 16:00,T,-12.3,137,,,,Imported from CYCARD; June 2009
unnamed,AU191314_01U,1/1/1914 23:30,T,-12.7,135.8,996,,,Imported from CYCARD; June 2009
unnamed,AU191314_01U,1/2/1914 23:30,T,-13.8,132.8,,,,Imported from CYCARD; June 2009
unnamed,AU191314_01U,1/3/1914 23:30,T,-14.3,131.5,,,,Imported from CYCARD; June 2009
unnamed,AU191314_01U,1/4/1914 23:30,T,-15.3,129.2,,,,Imported from CYCARD; June 2009
unnamed,AU191314_02U,2/17/1914 23:00,T,-16,159.1,,,,Imported from CYCARD; June 2009
unnamed,AU191314_02U,2/18/1914 17:00,T,-20,156.6,,,,Imported from CYCARD; June 2009
unnamed,AU191314_02U,2/18/1914 23:00,T,-21.4,156.6,996,,,Imported from CYCARD; June 2009
unnamed,AU191314_02U,2/19/1914 23:00,T,-26.7,158,,,,Imported from CYCARD; June 2009
unnamed,AU191314_02U,2/20/1914 10:00,T,-27.9,160,,,,Imported from CYCARD; June 2009
unnamed,AU191314_02U,2/20/1914 23:00,T,-28.2,163.1,,,,Imported from CYCARD; June 2009
unnamed,AU191314_03U,3/5/1914 23:00,T,-13,156.9,,,,Imported from CYCARD; June 2009
unnamed,AU191314_03U,3/6/1914 23:00,T,-14,155.7,,,,Imported from CYCARD; June 2009
unnamed,AU191314_03U,3/7/1914 23:00,T,-15.9,154,,,,Imported from CYCARD; June 2009
unnamed,AU191314_03U,3/8/1914 23:00,T,-17.3,153.1,988,,,Imported from CYCARD; June 2009
unnamed,AU191314_03U,3/9/1914 23:00,T,-18.4,153.3,,,,Imported from CYCARD; June 2009
unnamed,AU191314_03U,3/10/1914 7:00,T,-18.9,154.7,,,,Imported from CYCARD; June 2009
unnamed,AU191314_03U,3/10/1914 23:00,T,-19,157.7,,,,Imported from CYCARD; June 2009
unnamed,AU191314_03U,3/11/1914 23:00,T,-18.4,160.5,,,,Imported from CYCARD; June 2009
unnamed,AU191415_01U,12/27/1914 23:00,O,-19,142.5,994,,,Imported from CYCARD; June 2009
unnamed,AU191415_01U,12/28/1914 23:00,O,-19.2,142.6,,,,Imported from CYCARD; June 2009
unnamed,AU191415_01U,12/29/1914 23:00,O,-26.5,149.5,,,,Imported from CYCARD; June 2009
unnamed,AU191415_01U,12/30/1914 19:00,O,-30.2,153.2,,,,Imported from CYCARD; June 2009
unnamed,AU191415_01U,12/30/1914 23:00,O,-30.8,154,,,,Imported from CYCARD; June 2009
unnamed,AU191415_02U,2/4/1915 23:00,T,-16.9,147.5,,,,Imported from CYCARD; June 2009
unnamed,AU191415_02U,2/5/1915 23:00,T,-17.9,147,,,,Imported from CYCARD; June 2009
unnamed,AU191415_02U,2/6/1915 23:00,T,-18.9,147.5,,,,Imported from CYCARD; June 2009
unnamed,AU191415_02U,2/7/1915 23:00,T,-20.9,150,,,,Imported from CYCARD; June 2009
unnamed,AU191415_02U,2/8/1915 23:00,T,-24,152.4,986,,,Imported from CYCARD; June 2009
unnamed,AU191415_02U,2/9/1915 8:00,T,-25.1,153.2,970,,,Imported from CYCARD; June 2009
unnamed,AU191415_02U,2/9/1915 23:00,T,-26.9,155,,,,Imported from CYCARD; June 2009
unnamed,AU191415_02U,2/10/1915 4:00,T,-28,155.3,,,,Imported from CYCARD; June 2009
unnamed,AU191415_02U,2/10/1915 12:00,T,-29.6,157,,,,Imported from CYCARD; June 2009
unnamed,AU191415_02U,2/10/1915 23:00,T,-30.9,159.7,,,,Imported from CYCARD; June 2009
unnamed,AU191415_03U,2/25/1915 1:00,T,-21.6,113.7,,,,Imported from CYCARD; June 2009
unnamed,AU191415_03U,2/25/1915 5:00,T,-23,112.8,,,,Imported from CYCARD; June 2009
unnamed,AU191415_03U,2/25/1915 11:00,T,-26.7,112.1,,,,Imported from CYCARD; June 2009
unnamed,AU191415_03U,2/25/1915 19:00,T,-32,114.2,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/9/1915 23:00,T,-13,152.9,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/10/1915 23:00,T,-13.9,151.5,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/11/1915 23:00,T,-14.7,147.8,988,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/12/1915 11:00,T,-15.2,147.5,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/12/1915 23:00,T,-15.8,147.9,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/13/1915 23:00,T,-16.4,149.3,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/14/1915 23:00,T,-16.9,150.4,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/15/1915 23:00,T,-17.4,151.9,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/16/1915 23:00,T,-17.8,153.6,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/17/1915 23:00,T,-17.4,156.1,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/18/1915 23:00,T,-16.9,157.9,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/19/1915 11:00,T,-16.5,158.2,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/19/1915 23:00,T,-16,158,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/20/1915 23:00,T,-15.9,155.8,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/21/1915 23:00,T,-15.8,155,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/22/1915 23:00,T,-15.2,154,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/23/1915 23:00,T,-14,153.8,,,,Imported from CYCARD; June 2009
unnamed,AU191415_04U,3/24/1915 23:00,T,-13,154,,,,Imported from CYCARD; June 2009
unnamed,AU191516_01U,12/21/1915 23:30,T,-12.7,128.5,,,,Imported from CYCARD; June 2009
unnamed,AU191516_01U,12/22/1915 23:30,T,-12,130.5,,,,Imported from CYCARD; June 2009
unnamed,AU191516_01U,12/23/1915 7:00,T,-12.2,131.5,,,,Imported from CYCARD; June 2009
unnamed,AU191516_01U,12/23/1915 23:30,T,-13.8,132.4,,,,Imported from CYCARD; June 2009
unnamed,AU191516_02U,1/4/1916 23:00,T,-17,159,,,,Imported from CYCARD; June 2009
unnamed,AU191516_02U,1/5/1916 23:00,T,-18.5,161.5,,,,Imported from CYCARD; June 2009
unnamed,AU191516_02U,1/6/1916 23:00,T,-21,164.9,992,,,Imported from CYCARD; June 2009
unnamed,AU191516_03U,1/17/1916 1:00,T,-17.5,118.3,,,,Imported from CYCARD; June 2009
unnamed,AU191516_03U,1/18/1916 1:00,T,-21,115.3,,,,Imported from CYCARD; June 2009
unnamed,AU191516_03U,1/18/1916 16:00,T,-21.3,114.2,,,,Imported from CYCARD; June 2009
unnamed,AU191516_03U,1/19/1916 1:00,T,-21.7,113.1,,,,Imported from CYCARD; June 2009
unnamed,AU191516_03U,1/19/1916 9:00,T,-23,111.9,,,,Imported from CYCARD; June 2009
unnamed,AU191516_03U,1/19/1916 23:00,T,-25.5,113.5,,,,Imported from CYCARD; June 2009
unnamed,AU191516_03U,1/20/1916 1:00,T,-26,113.7,,,,Imported from CYCARD; June 2009
unnamed,AU191516_04U,2/8/1916 23:00,T,-17.4,157.4,,,,Imported from CYCARD; June 2009
unnamed,AU191516_04U,2/9/1916 23:00,T,-20,157.3,,,,Imported from CYCARD; June 2009
unnamed,AU191516_04U,2/10/1916 23:00,T,-23.4,156.3,,,,Imported from CYCARD; June 2009
unnamed,AU191516_04U,2/11/1916 4:00,T,-25,156.5,,,,Imported from CYCARD; June 2009
unnamed,AU191516_04U,2/11/1916 10:00,T,-27,157.5,,,,Imported from CYCARD; June 2009
unnamed,AU191516_04U,2/11/1916 16:00,T,-28.3,159,,,,Imported from CYCARD; June 2009
unnamed,AU191516_04U,2/11/1916 23:00,T,-29.4,161.3,992,,,Imported from CYCARD; June 2009
unnamed,AU191516_05U,2/17/1916 23:00,T,-11.9,147.9,,,,Imported from CYCARD; June 2009
unnamed,AU191516_05U,2/18/1916 23:00,T,-11.9,146.8,998,,,Imported from CYCARD; June 2009
unnamed,AU191516_05U,2/19/1916 23:00,T,-11.8,145.9,,,,Imported from CYCARD; June 2009
unnamed,AU191516_06U,3/2/1916 1:00,T,-18,121.5,,,,Imported from CYCARD; June 2009
unnamed,AU191516_06U,3/2/1916 12:00,T,-18.7,121.5,,,,Imported from CYCARD; June 2009
unnamed,AU191516_06U,3/3/1916 1:00,T,-19.5,121.7,,,,Imported from CYCARD; June 2009
unnamed,AU191516_06U,3/4/1916 1:00,T,-22,122,,,,Imported from CYCARD; June 2009
unnamed,AU191516_07U,4/10/1916 23:00,T,-16,153,,,,Imported from CYCARD; June 2009
unnamed,AU191516_07U,4/11/1916 23:00,T,-18.4,152.5,,,,Imported from CYCARD; June 2009
unnamed,AU191516_07U,4/12/1916 23:00,T,-21,153,988,,,Imported from CYCARD; June 2009
unnamed,AU191516_07U,4/13/1916 10:00,T,-22.6,155,,,,Imported from CYCARD; June 2009
unnamed,AU191516_07U,4/13/1916 23:00,T,-24,158,,,,Imported from CYCARD; June 2009
unnamed,AU191516_07U,4/14/1916 23:00,T,-27.3,164,,,,Imported from CYCARD; June 2009
unnamed,AU191617_01U,12/25/1916 23:00,T,-19.4,152.1,,,,Imported from CYCARD; June 2009
unnamed,AU191617_01U,12/26/1916 23:00,T,-20.7,148.7,994,,,Imported from CYCARD; June 2009
unnamed,AU191617_01U,12/27/1916 23:00,T,-23.1,146.3,,,,Imported from CYCARD; June 2009
unnamed,AU191617_02U,12/31/1916 23:00,O,-17.7,140.5,992,,,Imported from CYCARD; June 2009
unnamed,AU191617_02U,1/1/1917 23:00,O,-21,145.2,995,,,Imported from CYCARD; June 2009
unnamed,AU191617_02U,1/2/1917 23:00,O,-22,147,995,,,Imported from CYCARD; June 2009
unnamed,AU191617_02U,1/3/1917 23:00,O,-22.6,149,1000,,,Imported from CYCARD; June 2009
unnamed,AU191617_03U,1/4/1917 1:00,T,-16,122,,,,Imported from CYCARD; June 2009
unnamed,AU191617_03U,1/4/1917 12:00,T,-16.9,122.3,,,,Imported from CYCARD; June 2009
unnamed,AU191617_03U,1/5/1917 1:00,T,-18.1,123,,,,Imported from CYCARD; June 2009
